color_balance: 0.0430s
rotate_hue: 0.8201s
invert_colors: 0.0362s
posterize: 0.0348s
         76656 function calls (75748 primitive calls) in 1.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.000    0.000 Image.py:127(Transpose)
       11    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
       60    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
        5    0.000    0.000    0.000    0.000 functools.py:521(decorating_function)
      137    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      211    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Image.py:516(Image)
      233    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 typing.py:1874(__init__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:352(IFD)
        1    0.000    0.000    0.000    0.000 ImageStat.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _compiler.py:391(_mk_bitmap)
        8    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
        1    0.000    0.000    0.000    0.000 ExifTags.py:344(Interop)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:1(<module>)
        9    0.000    0.000    0.000    0.000 enum.py:720(__call__)
        1    0.000    0.000    0.000    0.000 Image.py:147(Resampling)
      233    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:647(_check_name_wrapper)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 random.py:126(__init__)
        1    0.000    0.000    0.000    0.000 enum.py:1550(__or__)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:1753(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 random.py:135(seed)
      331    0.000    0.000    0.000    0.000 enum.py:1291(value)
        1    0.000    0.000    0.000    0.000 Image.py:138(Transform)
      336    0.000    0.000    0.000    0.000 enum.py:819(<genexpr>)
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      131    0.000    0.000    0.000    0.000 _parser.py:164(__len__)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       21    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
      328    0.000    0.000    0.000    0.000 enum.py:1286(name)
        1    0.000    0.000    0.000    0.000 Image.py:166(Dither)
        9    0.000    0.000    0.000    0.000 enum.py:1128(__new__)
       20    0.000    0.000    0.000    0.000 _compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 __init__.py:2149(getLogger)
        1    0.000    0.000    0.000    0.000 Image.py:179(Quantize)
       26    0.000    0.000    0.000    0.000 _compiler.py:403(_simple)
       99    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 threading.py:670(Barrier)
       70    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      181    0.000    0.000    0.000    0.000 _parser.py:256(match)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1689(path_hook_for_FileFinder)
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      360    0.000    0.000    0.000    0.000 enum.py:1184(__init__)
       72    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 _parser.py:176(append)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        1    0.000    0.000    0.000    0.000 image_filters.py:81(_get_hue_rotation_lut)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1377(getLogger)
       11    0.000    0.000    0.000    0.000 enum.py:956(_check_for_existing_members_)
      102    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      290    0.000    0.000    0.000    0.000 Image.py:565(mode)
       47    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       76    0.000    0.000    0.000    0.000 _parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       45    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       80    0.000    0.000    0.000    0.000 typing.py:962(__eq__)
        1    0.000    0.000    0.000    0.000 enum.py:1413(_missing_)
       99    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.000    0.000 __init__.py:1293(__init__)
       13    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
        2    0.000    0.000    0.000    0.000 ImageMode.py:35(getmode)
        1    0.000    0.000    0.000    0.000 Image.py:174(Palette)
       11    0.000    0.000    0.000    0.000 _parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 tempfile.py:685(SpooledTemporaryFile)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:928(__init__)
       11    0.000    0.000    0.000    0.000 enum.py:383(__init__)
      113    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
        1    0.000    0.000    0.000    0.000 __init__.py:592(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:3873(_apply_env_variables)
        2    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       27    0.000    0.000    0.000    0.000 enum.py:1543(_get_value)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1571(__init__)
       60    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       82    0.000    0.000    0.000    0.000 Image.py:573(readonly)
        2    0.000    0.000    0.000    0.000 _compiler.py:396(_bytes_to_codes)
       68    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ImageStat.py:31(Stat)
       50    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 threading.py:884(__init__)
       49    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
       49    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       68    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
      3/2    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        3    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_builtin}
        3    0.000    0.000    0.000    0.000 _compiler.py:441(_get_literal_prefix)
        3    0.000    0.000    0.000    0.000 enum.py:1403(_iter_member_by_def_)
       17    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:616(set)
       43    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        3    0.000    0.000    0.000    0.000 <frozen os>:709(__getitem__)
        1    0.000    0.000    0.000    0.000 image_filters.py:60(_get_posterize_channel_lut)
        1    0.000    0.000    0.000    0.000 threading.py:1045(_set_tstate_lock)
       34    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      114    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
        1    0.000    0.000    0.000    0.000 bz2.py:26(BZ2File)
        1    0.000    0.000    0.000    0.000 threading.py:873(Thread)
        1    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        1    0.000    0.000    0.000    0.000 weakref.py:104(__init__)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        4    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
       11    0.000    0.000    0.000    0.000 enum.py:985(_find_data_repr_)
        1    0.000    0.000    0.000    0.000 random.py:110(Random)
        1    0.000    0.000    0.000    0.000 __init__.py:1878(LoggerAdapter)
        4    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       25    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        2    0.000    0.000    0.000    0.000 __init__.py:1497(__init__)
       81    0.000    0.000    0.000    0.000 Image.py:549(im)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x7f351288fce0}
       62    0.000    0.000    0.000    0.000 _parser.py:113(__init__)
       34    0.000    0.000    0.000    0.000 _parser.py:83(groups)
        4    0.000    0.000    0.000    0.000 _parser.py:274(getuntil)
        1    0.000    0.000    0.000    0.000 tempfile.py:864(TemporaryDirectory)
        1    0.000    0.000    0.000    0.000 lzma.py:38(LZMAFile)
        9    0.000    0.000    0.000    0.000 {built-in method time.time}
       21    0.000    0.000    0.000    0.000 {built-in method sys.intern}
       10    0.000    0.000    0.000    0.000 {method 'index' of 'tuple' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 ImageFilter.py:373(Color3DLUT)
        1    0.000    0.000    0.000    0.000 __init__.py:450(validate)
       75    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       36    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       27    0.000    0.000    0.000    0.000 _parser.py:172(__setitem__)
       30    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:1117(StreamHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 Image.py:3914(Exif)
        2    0.000    0.000    0.000    0.000 typing.py:2510(overload)
        1    0.000    0.000    0.000    0.000 __init__.py:892(_addHandlerRef)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 __init__.py:546(Formatter)
        1    0.000    0.000    0.000    0.000 _deprecate.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:919(Handler)
        8    0.000    0.000    0.000    0.000 enum.py:815(__iter__)
        1    0.000    0.000    0.000    0.000 traceback.py:374(StackSummary)
        4    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
        3    0.000    0.000    0.000    0.000 <frozen os>:791(encode)
        3    0.000    0.000    0.000    0.000 __init__.py:234(_acquireLock)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:31(ImagePalette)
       49    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1482(Logger)
        1    0.000    0.000    0.000    0.000 threading.py:588(__init__)
        1    0.000    0.000    0.000    0.000 traceback.py:679(TracebackException)
        1    0.000    0.000    0.000    0.000 __init__.py:2285(NullHandler)
        3    0.000    0.000    0.000    0.000 enum.py:1393(_iter_member_by_value_)
       46    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
        1    0.000    0.000    0.000    0.000 __init__.py:262(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 _binary.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
       22    0.000    0.000    0.000    0.000 {method 'pop' of 'set' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       34    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1157(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1867(__init__)
        4    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:457(ImagePointTransform)
        2    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        2    0.000    0.000    0.000    0.000 _weakrefset.py:37(__init__)
        1    0.000    0.000    0.000    0.000 tempfile.py:432(_TemporaryFileCloser)
